Removed Pin From Net: NetName=RESET Pin=SW1-1
Removed Pin From Net: NetName=RESET Pin=SW1-2
Removed Pin From Net: NetName=GND Pin=SW1-3
Removed Pin From Net: NetName=GND Pin=SW1-4
Removed Pin From Net: NetName=ECHO Pin=U1-11
Removed Pin From Net: NetName=TRIG Pin=U1-12
Removed Member From Class: ClassName=Schematic Member=SW1
Change Component Footprint: Designator=C1 Old Footprint=CAPC1608X100N New Footprint=FP-C0603C-CF-MFG
Change Component Comment : Designator=C2 Old Comment=10uF New Comment=0.1uF
Change Component Comment : Designator=C1 Old Comment=47uF New Comment=0.047 uF
Change Managed Component Library Link : Designator=C1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=10FDA717-95C4-44B9-8084-0F6255F2D434 Old RevisionGUID= New RevisionGUID=7221EB5B-F8BC-424B-98D7-3739E00642F7
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAPC1608X100N"; UniqueID = "\OCNFJMJL" ("\OCNFJMJL")
Add component (AddParameter): Name = "MP"; Value = "EMK107B7104KAHT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/EMK107B7104KAHT/Taiyo%20Yuden/view-part/588112/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C13(CAPC1608X90N)
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "587-6004-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.in/product-detail/en/taiyo-yuden/EMK107B7104KAHT/587-6004-1-ND/8040667?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "EMK107B7104KAHT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/EMK107B7104KAHT/Taiyo%20Yuden/view-part/588112/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C14(CAPC1608X90N)
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/C1608JB1A106K080AC/TDK/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "445-11201-2-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "C1608JB1A106K080AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/C1608JB1A106K080AC/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/C1608JB1A106K080AC/TDK/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C15(CAPC1608X90N)
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "587-6004-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.in/product-detail/en/taiyo-yuden/EMK107B7104KAHT/587-6004-1-ND/8040667?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "EMK107B7104KAHT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/EMK107B7104KAHT/Taiyo%20Yuden/view-part/588112/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C16(CAPC1608X90N)
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "587-6004-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.in/product-detail/en/taiyo-yuden/EMK107B7104KAHT/587-6004-1-ND/8040667?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "EMK107B7104KAHT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/EMK107B7104KAHT/Taiyo%20Yuden/view-part/588112/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C17(CAPC1608X90N)
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "587-6004-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.in/product-detail/en/taiyo-yuden/EMK107B7104KAHT/587-6004-1-ND/8040667?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "EMK107B7104KAHT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/EMK107B7104KAHT/Taiyo%20Yuden/view-part/588112/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C18(CAPC2012X88N)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "C0805C103K1RECAUTO"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C19(CAPC1608X90X35NL15T15)
Add component (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "C0603C335M9PACTU"; VariantName = "[No Variations]"
Added Component: Designator=C20(CAPC1608X90N)
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "587-6004-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.in/product-detail/en/taiyo-yuden/EMK107B7104KAHT/587-6004-1-ND/8040667?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "EMK107B7104KAHT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/EMK107B7104KAHT/Taiyo%20Yuden/view-part/588112/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=C21(CAPC1608X90N)
Add component (AddParameter): Name = "Digi-Key_Part_Number"; Value = "587-6004-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digi-Key_Purchase_URL"; Value = "https://www.digikey.in/product-detail/en/taiyo-yuden/EMK107B7104KAHT/587-6004-1-ND/8040667?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "EMK107B7104KAHT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "1608 Taiyo Yuden"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/EMK107B7104KAHT/Taiyo%20Yuden/view-part/588112/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=D0(LED_HDSP-523G)
Add component (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/HDSP-523G/Broadcom+Limited/view-part/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "Broadcom Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "HDSP-523G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/HDSP-523G/?ref=eda"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/HDSP-523G/Broadcom+Limited/view-part/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=J2(CUI_UJC-VP-3-SMT-TR)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "{'manufacturer': u'CUI'}"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "UJC-VP-3-SMT-TR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=J3(CUI_TB003-500-P02BE)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "CUI Devices"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "TB003-500-P02BE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/TB003-500-P02BE/CUI%20Devices/view-part/3590637/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=J4(SAMTEC_TSW-105-07-S-D-LL)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "TSW-105-07-S-D-LL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=J5(CUI_TB003-500-P02BE)
Add component (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MF"; Value = "CUI Devices"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "MP"; Value = "TB003-500-P02BE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/TB003-500-P02BE/CUI%20Devices/view-part/3590637/?ref=snap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Component: Designator=P1(SMTC-TSW-103-08-X-D)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samtec.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.samtec.com/documents/webfiles/pdf/TSW_TH.PDF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.samtec.com/documents/webfiles/cpdf/TSW-XXX-XX-XXX-X-XX-XXX-MKT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "F-214"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Technology"; Value = "Through-hole"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = ".025[0.64] SQ. Post Terminal Strip Assembly"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "TSW-103-08-X-D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "DM, 8/1988"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartNumber"; Value = "TSW-103-08-G-D"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "2.54 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "True"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range"; Value = "-55 to 125 degC"; VariantName = "[No Variations]"
Added Component: Designator=P2 (BUTTON)(SMTC-TSW-104-08-L-D_V)
Add component (AddParameter): Name = "Colour"; Value = "Black"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.samtec.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/25616/0900766b81154476-25616879.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Package Specification"; VariantName = "[No Variations]"
